Designator,Footprint,Quantity,Value,LCSC Part #
BOOT,SW-SMD_L3.9-W3.0-P4.45,1,BOOT,C720477
"C1, C10, C11, C13, C15, C16, C17, C18, C19, C2, C20, C26, C28, C3, C37, C4, C40, C43, C44, C49, C5, C50, C6, C7, C8, C9",0603,26,1uF,C29936
"C12, C14",0603,2,4.7uF,C389010
"C21, C29, C32, C39",CP_Elec_4x5.4,4,10uF,C22387953
"C22, C23",0603,2,27pF,C376778
"C24, C25, C27, C35, C38",0603,5,100nF,C14663
"C30, C33",0603,2,2.2uF,C914769
"C31, C34",0603,2,100pF,C14858
C36,0603,1,3.3uF,C5360803
"C41, C42, C45, C46",0603,4,2.2nF,C107082
"C47, C48",CP_Elec_6.3x7.7,2,100uF,C99837
"D1, D2",LED_WS2812B-2020_PLCC4_2.0x2.0mm,2,WS2812B-2020,C965555
D3,0603,1,LED,C965804
J3,TYPE-C-SMD_TYPE-C-6P-073,1,USB_C_Receptacle_PowerOnly_6P,C668623
J4,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2988369
J5,AUDIO-TH_PJ-3136-B,1,AudioJack3,C381131
"J6, J7",CONN-TH_AV-5,2,Conn_Coaxial,C18080
L1,L_6.3x6.3_H3,1,6.8uH,C135295
"R1, R2, R4",0603,3,4.7k,C99782
"R10, R5, R7, R9",0603,4,5.1K,C105580
"R11, R12, R6, R8",0603,4,24k,C23352
R13,0603,1,0,C95177
R14,0603,1,10k,C98220
R15,0603,1,1.5k,C114668
R16,0603,1,1M,C105578
R17,0603,1,100,C105588
"R18, R19, R3",0603,3,470,C114669
"R20, R21, R22, R23",0603,4,3.3K,C108078
RESET,SW-SMD_L3.9-W3.0-P4.45,1,Reset,C720477
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,C202365
"T1, T2",XFMR-SMD_4P-L7.1-W5.2-P2.54-LS9.2-BL,2,Transformer_Audio,C596483
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32E-R2,C701342
"U10, U9",VSSOP-10_3x3mm_P0.5mm,2,TS5A22364DGSR,C105181
U2,SOIC-4_4.55x3.7mm_P2.54mm,1,TLP185xSE,C7240
"U3, U6",SOT-23-5,2,XC6220B331MR,C86534
U4,SOIC-16W_7.5x10.3mm_P1.27mm,1,ADUM3160,C284149
U5,PWRM-TH_4P-L19.7-W6.0-P2.54_F2403S-1WR3,1,F0505S-3WR2,C5369564
U7,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5100A,C131154
U8,TQFP-32_7x7mm_P0.8mm,1,PCM2912APJTR,C475497
Y1,Crystal_SMD_HC49-SD_HandSoldering,1,6MHz,C7528811
