Designator,Mid X,Mid Y,Rotation,Layer
BOOT,162.3,-61.4,0.0,bottom
C1,187.3,-43.2,90.0,bottom
C10,161.6,-47.5,0.0,top
C11,209.9,-55.3,90.0,top
C12,200.7,-64.6,180.0,top
C13,208.8,-59.1,180.0,top
C14,205.1,-64.6,0.0,top
C15,164.9,-45.2,270.0,top
C16,223.3,-64.7,180.0,top
C17,197.2,-59.1,0.0,top
C18,161.6,-60.4,0.0,top
C19,165.0,-60.8,90.0,top
C2,188.7,-54.8,270.0,bottom
C20,176.3,-62.8,90.0,bottom
C21,187.0,-62.0,270.0,top
C22,211.8,-62.7,270.0,bottom
C23,209.4,-64.1,180.0,bottom
C24,187.2,-60.5,270.0,bottom
C25,182.45,-61.7,0.0,bottom
C26,210.8,-60.3,180.0,bottom
C27,186.3,-71.7,0.0,bottom
C28,209.3,-53.9,180.0,bottom
C29,180.0,-62.0,270.0,top
C3,166.9,-66.1,0.0,top
C30,188.7,-63.3,270.0,bottom
C31,207.0,-65.3,90.0,bottom
C32,193.0,-62.0,270.0,top
C33,189.6,-65.7,180.0,bottom
C34,205.5,-65.6,90.0,bottom
C35,177.8,-62.8,90.0,bottom
C36,204.0,-65.6,90.0,bottom
C37,201.8,-50.3375,90.0,bottom
C38,202.5,-65.6,90.0,bottom
C39,174.0,-62.0,270.0,top
C4,166.4,-63.2,90.0,bottom
C40,200.4,-65.3,90.0,bottom
C41,192.0,-66.3,90.0,bottom
C42,192.0,-69.6,270.0,bottom
C43,196.7,-57.7,180.0,bottom
C44,196.5,-59.5,180.0,bottom
C45,196.7,-54.0,0.0,bottom
C46,196.5,-62.5,180.0,bottom
C47,171.0,-54.0,270.0,top
C48,190.0,-54.0,270.0,top
C49,209.6,-42.7375,270.0,bottom
C5,162.3,-64.0,0.0,bottom
C50,190.6,-43.9,90.0,bottom
C6,181.7,-47.1,180.0,top
C7,164.9,-48.6,90.0,bottom
C8,184.1,-48.0,270.0,top
C9,161.7,-47.8,0.0,bottom
D1,179.95,-44.485,270.0,top
D2,182.95,-44.485,270.0,top
D3,208.4,-50.3,270.0,bottom
J3,161.0,-54.0,270.0,top
J4,234.0,-54.0,90.0,top
J5,224.0,-39.2825,270.0,top
J6,215.0,-40.7,180.0,top
J7,203.75,-40.7,180.0,top
L1,203.0,-69.0,0.0,top
R1,187.2,-56.4,90.0,bottom
R10,227.8,-59.1,270.0,top
R11,195.9,-49.7,90.0,top
R12,195.9,-53.0,270.0,top
R13,177.2,-56.5,90.0,top
R14,176.3,-65.2,180.0,bottom
R15,211.7,-57.9,270.0,bottom
R16,209.4,-62.6,0.0,bottom
R17,206.9,-50.3,270.0,bottom
R18,189.6,-67.2,180.0,bottom
R19,189.6,-68.7,0.0,bottom
R2,165.1,-58.4,270.0,bottom
R20,196.7,-56.2,0.0,bottom
R21,196.5,-61.0,180.0,bottom
R22,170.4,-48.1,180.0,top
R23,189.4,-48.1,180.0,top
R3,192.1,-51.9,0.0,bottom
R4,164.0,-42.7,0.0,bottom
R5,164.9,-55.8,270.0,top
R6,226.3,-59.1,270.0,top
R7,166.4,-54.7,270.0,top
R8,226.3,-49.2,90.0,top
R9,227.8,-49.1875,90.0,top
RESET,161.7,-45.4,0.0,bottom
SW1,218.0,-54.0,90.0,top
T1,172.0,-44.0,270.0,top
T2,191.0,-44.0,270.0,top
U1,176.25,-50.36,0.0,bottom
U10,207.0,-46.2,0.0,bottom
U2,192.0,-57.0,180.0,bottom
U3,162.0,-45.0,180.0,top
U4,203.0,-53.0,90.0,top
U5,218.0,-67.0,0.0,top
U6,162.0,-63.0,180.0,top
U7,183.0,-66.0,270.0,bottom
U8,203.8375,-58.0,270.0,bottom
U9,193.4,-45.5,270.0,bottom
Y1,187.0,-69.0,0.0,top
